BunruiNo	LemmaID
1.1040,体-関係-事柄-本体・代理,1.1040-12-02-01	61168
1.1040,体-関係-事柄-本体・代理,1.1040-12-02-02	20912
1.1040,体-関係-事柄-本体・代理,1.1040-12-03-01	170475
1.1040,体-関係-事柄-本体・代理,1.1040-12-03-03	20491
1.1040,体-関係-事柄-本体・代理,1.1040-12-03-04	30473
1.1040,体-関係-事柄-本体・代理,1.1040-13-01-01	36795
1.1040,体-関係-事柄-本体・代理,1.1040-13-01-02	31777
1.1040,体-関係-事柄-本体・代理,1.1040-13-01-03	14689
1.1040,体-関係-事柄-本体・代理,1.1040-13-02-01	37702
1.1040,体-関係-事柄-本体・代理,1.1040-13-02-02	31594
1.1040,体-関係-事柄-本体・代理,1.1040-13-02-03	37711
1.1040,体-関係-事柄-本体・代理,1.1040-14-01-01	17153
1.1040,体-関係-事柄-本体・代理,1.1040-14-01-02	17151
1.1040,体-関係-事柄-本体・代理,1.1040-14-01-03	32308
1.1040,体-関係-事柄-本体・代理,1.1040-14-01-04	25819
1.1040,体-関係-事柄-本体・代理,1.1040-14-01-05	25820
1.1040,体-関係-事柄-本体・代理,1.1040-14-02-01	35889
1.1040,体-関係-事柄-本体・代理,1.1040-14-02-02	21290
1.1040,体-関係-事柄-本体・代理,1.1040-14-03-01	14811
1.1040,体-関係-事柄-本体・代理,1.1040-15-01-01	16021
1.1040,体-関係-事柄-本体・代理,1.1040-15-01-02	16456
1.1040,体-関係-事柄-本体・代理,1.1040-15-01-03	1209
1.1040,体-関係-事柄-本体・代理,1.1040-15-01-04	70604
1.1040,体-関係-事柄-本体・代理,1.1040-15-02-01	42834
1.1040,体-関係-事柄-本体・代理,1.1040-15-02-02	93790
1.1040,体-関係-事柄-本体・代理,1.1040-15-02-03	34982
1.1040,体-関係-事柄-本体・代理,1.1040-15-02-04	17150
1.1040,体-関係-事柄-本体・代理,1.1040-15-03-01	67716
1.1040,体-関係-事柄-本体・代理,1.1040-15-03-02	37558
1.1100,体-関係-類-類・例,1.1100-01-01-01	16462
1.1100,体-関係-類-類・例,1.1100-01-01-02	30406
1.1100,体-関係-類-類・例,1.1100-01-01-03	6838
1.1100,体-関係-類-類・例,1.1100-01-02-01	16025
1.1100,体-関係-類-類・例,1.1100-01-02-02	40455
1.1100,体-関係-類-類・例,1.1100-01-02-02	40456
1.1100,体-関係-類-類・例,1.1100-01-02-03	22195
1.1100,体-関係-類-類・例,1.1100-01-03-01	65901
1.1100,体-関係-類-類・例,1.1100-01-03-02	33431
1.1100,体-関係-類-類・例,1.1100-01-03-03	55545
1.1100,体-関係-類-類・例,1.1100-01-04-01	16449
1.1100,体-関係-類-類・例,1.1100-01-04-02	55431
1.1100,体-関係-類-類・例,1.1100-02-01-01	16442
1.1100,体-関係-類-類・例,1.1100-02-01-02	19987
1.1100,体-関係-類-類・例,1.1100-02-02-02	10299
1.1100,体-関係-類-類・例,1.1100-03-01-01	31946
1.1100,体-関係-類-類・例,1.1100-03-01-02	9902
1.1100,体-関係-類-類・例,1.1100-03-01-03	16929
1.1100,体-関係-類-類・例,1.1100-03-01-04	66201
1.1100,体-関係-類-類・例,1.1100-03-01-05	66172
1.1100,体-関係-類-類・例,1.1100-03-02-01	8493
1.1100,体-関係-類-類・例,1.1100-03-02-02	196807
1.1100,体-関係-類-類・例,1.1100-03-02-03	15919
1.1100,体-関係-類-類・例,1.1100-04-01-01	34036
1.1100,体-関係-類-類・例,1.1100-04-01-02	17357
1.1100,体-関係-類-類・例,1.1100-04-01-03	7441
1.1100,体-関係-類-類・例,1.1100-04-01-04	1869
1.1100,体-関係-類-類・例,1.1100-04-02-01	27181
1.1100,体-関係-類-類・例,1.1100-04-02-02	27071
1.1100,体-関係-類-類・例,1.1100-04-02-03	2196
1.1100,体-関係-類-類・例,1.1100-04-03-01	52932
1.1100,体-関係-類-類・例,1.1100-04-03-02	98789
1.1100,体-関係-類-類・例,1.1100-04-03-03	98924
1.1100,体-関係-類-類・例,1.1100-05-01-01	6169
1.1100,体-関係-類-類・例,1.1100-05-01-02	22278
1.1100,体-関係-類-類・例,1.1100-05-01-03	57583
1.1100,体-関係-類-類・例,1.1100-06-01-01	10952
1.1100,体-関係-類-類・例,1.1100-06-01-02	39069
1.1100,体-関係-類-類・例,1.1100-06-01-03	19209
1.1100,体-関係-類-類・例,1.1100-06-01-04	24877
1.1100,体-関係-類-類・例,1.1100-06-02-01	18143
1.1100,体-関係-類-類・例,1.1100-06-02-02	15098
1.1100,体-関係-類-類・例,1.1100-06-02-02	15099
1.1100,体-関係-類-類・例,1.1100-06-02-03	21906
1.1100,体-関係-類-類・例,1.1100-06-02-04	30956
1.1100,体-関係-類-類・例,1.1100-06-03-02	48430
1.1100,体-関係-類-類・例,1.1100-06-03-03	10951
1.1100,体-関係-類-類・例,1.1100-06-03-04	144093
1.1100,体-関係-類-類・例,1.1100-06-03-05	6593
1.1100,体-関係-類-類・例,1.1100-06-03-06	6594
1.1100,体-関係-類-類・例,1.1100-06-03-07	40461
1.1100,体-関係-類-類・例,1.1100-06-04-01	19086
1.1100,体-関係-類-類・例,1.1100-06-04-02	19272
1.1100,体-関係-類-類・例,1.1100-07-01-01	59487
1.1100,体-関係-類-類・例,1.1100-07-01-02	65216
1.1100,体-関係-類-類・例,1.1100-07-02-01	47859
1.1100,体-関係-類-類・例,1.1100-07-02-03	58466
1.1100,体-関係-類-類・例,1.1100-07-03-01	33612
1.1100,体-関係-類-類・例,1.1100-07-03-02	48913
1.1100,体-関係-類-類・例,1.1100-07-03-04	56360
1.1100,体-関係-類-類・例,1.1100-07-03-05	56360
1.1100,体-関係-類-類・例,1.1100-07-03-06	33571
1.1100,体-関係-類-類・例,1.1100-07-04-01	7088
1.1100,体-関係-類-類・例,1.1100-07-04-02	196143
1.1100,体-関係-類-類・例,1.1100-08-01-01	40129
1.1100,体-関係-類-類・例,1.1100-08-01-01	260123
1.1100,体-関係-類-類・例,1.1100-08-01-02	40146
1.1100,体-関係-類-類・例,1.1100-08-01-03	7853
1.1100,体-関係-類-類・例,1.1100-08-01-04	63604
1.1100,体-関係-類-類・例,1.1100-09-01-01	16768
1.1100,体-関係-類-類・例,1.1100-09-01-02	17548
1.1100,体-関係-類-類・例,1.1100-09-01-03	132123
1.1100,体-関係-類-類・例,1.1100-10-01-01	103421
1.1100,体-関係-類-類・例,1.1100-10-01-02	37912
1.1100,体-関係-類-類・例,1.1100-10-01-03	66125
1.1100,体-関係-類-類・例,1.1100-10-02-01	49561
1.1100,体-関係-類-類・例,1.1100-10-02-03	6030
1.1100,体-関係-類-類・例,1.1100-10-02-04	68414
1.1100,体-関係-類-類・例,1.1100-10-02-05	25255
1.1100,体-関係-類-類・例,1.1100-10-02-06	37817
